periodo,inpc
1996/07/01,26.2480539539193
1996/07/02,26.4240071839023
1996/08/01,26.6118725701274
1996/08/02,26.7604139568807
1996/09/01,27.0379784909099
1996/09/02,27.1875243862725
1996/10/01,27.3782603151489
1996/10/02,27.5242181617104
1996/11/01,27.7686297672073
1996/11/02,27.9656802682516
1996/12/01,28.6206975894878
1996/12/02,28.8979751210575
1997/01/01,29.3608215011194
1997/01/02,29.6368070035654
1997/02/01,29.9015983739738
1997/02/02,30.0875977261562
1997/03/01,30.2863707600134
1997/03/02,30.4495508263755
1997/04/01,30.6269395867119
1997/04/02,30.7650043475772
1997/05/01,30.9138327367908
1997/05/02,31.0384063098316
1997/06/01,31.1896747380071
1997/06/02,31.31223929383
1997/07/01,31.4630767002607
1997/07/02,31.5832017351764
1997/08/01,31.7350441682718
1997/08/02,31.8718169000135
1997/09/01,32.1485199086085
1997/09/02,32.2507052175739
1997/10/01,32.4029781543587
1997/10/02,32.510903512518
1997/11/01,32.7446949908964
1997/11/02,32.8955323973271
1997/12/01,33.1441060565441
1997/12/02,33.4154995196353
1998/01/01,33.8644242081826
1998/01/02,34.1434237545105
1998/02/01,34.5132704584808
1998/02/02,34.6852051359735
1998/03/01,34.9254546877494
1998/03/02,35.0834681917829
1998/04/01,35.2618614607278
1998/04/02,35.4023662605558
1998/05/01,35.5398564984472
1998/05/02,35.6869628729025
1998/06/01,35.9580688154787
1998/06/02,36.1107722559529
1998/07/01,36.3078227569971
1998/07/02,36.455933640061
1998/08/01,36.6446600336649
1998/08/02,36.8184607452003
1998/09/01,37.1680711854889
1998/09/02,37.4866817337475
1998/10/01,37.7790284486147
1998/10/02,37.945509561319
1998/11/01,38.3146382410857
1998/11/02,38.7510772865271
1998/12/01,39.2941506971137
1998/12/02,39.6516547411533
1999/01/01,40.2940423999992
1999/01/02,40.6455183562759
1999/02/01,40.9276754477147
1999/02/02,41.0996101252073
1999/03/01,41.2959431201026
1999/03/02,41.493424124837
1999/04/01,41.6870305963647
1999/04/02,41.8619793177392
1999/05/01,41.9643076098796
1999/05/02,42.0873026693919
1999/06/01,42.2441681635863
1999/06/02,42.3599876435513
1999/07/01,42.5247467414974
1999/07/02,42.63841318496
1999/08/01,42.770736860522
1999/08/02,42.8719171428233
1999/09/01,43.1702914273995
1999/09/02,43.2998885795946
1999/10/01,43.4607726262794
1999/10/02,43.5569298474818
1999/11/01,43.821147212971
1999/11/02,43.9704061058733
1999/12/01,44.1940074427685
1999/12/02,44.4770255415868
2000/01/01,44.8092702608443
2000/01/02,45.0522463359877
2000/02/01,45.2725471445955
2000/02/02,45.3860700868284
2000/03/01,45.5304494198622
2000/03/02,45.6310556972444
2000/04/01,45.7863426779103
2000/04/02,45.8936940311505
2000/05/01,45.9663144603837
2000/05/02,46.0564435938232
2000/06/01,46.2299573028991
2000/06/02,46.3378831791131
2000/07/01,46.4337533978559
2000/07/02,46.495035675767
2000/08/01,46.6158782168317
2000/08/02,46.8236923462242
2000/09/01,47.0342335170383
2000/09/02,47.0879097117134
2000/10/01,47.2951498361861
2000/10/02,47.4751216186602
2000/11/01,47.7321628865474
2000/11/02,47.8485563714316
2000/12/01,48.1928567481617
2000/12/02,48.4224856547644
2001/01/01,48.5596894082509
2001/01/02,48.5912633052001
2001/02/01,48.5275409883264
2001/02/02,48.559115403331
2001/03/01,48.7238739832216
2001/03/02,48.977757705998
2001/04/01,49.0506651376908
2001/04/02,49.1438083150122
2001/05/01,49.155433468794
2001/05/02,49.264507354847
2001/06/01,49.3171785228574
2001/06/02,49.3355487524971
2001/07/01,49.159021517595
2001/07/02,49.2375260153067
2001/08/01,49.4074516755815
2001/08/02,49.5717797517827
2001/09/01,49.9058905050837
2001/09/02,49.9948716286841
2001/10/01,50.1194457197796
2001/10/02,50.2328251607826
2001/11/01,50.3723249339466
2001/11/02,50.3578292375128
2001/12/01,50.4359032315351
2001/12/02,50.4337507130875
2002/01/01,50.8010138768668
2002/01/02,51.0000739131836
2002/02/01,50.8670322134173
2002/02/02,50.8684672257159
2002/03/01,51.0157171014011
2002/03/02,51.2403234649596
2002/04/01,51.4713526741774
2002/04/02,51.3432257620192
2002/05/01,51.4835865425627
2002/05/02,51.5392717544549
2002/06/01,51.7198175418482
2002/06/02,51.8054981371619
2002/07/01,51.8728452847399
2002/07/02,51.9500354769645
2002/08/01,52.0785131123445
2002/08/02,52.139125545165
2002/09/01,52.3965988709072
2002/09/02,52.4468502041003
2002/10/01,52.6245430627103
2002/10/02,52.6820471656425
2002/11/01,53.0032412540928
2002/11/02,53.1539952536721
2002/12/01,53.2741840093508
2002/12/02,53.3456755967794
2003/01/01,53.5145615207066
2003/01/02,53.5363198299244
2003/02/01,53.6161002970559
2003/02/02,53.7321446128831
2003/03/01,53.9440291002637
2003/03/02,54.0818317253088
2003/04/01,54.0880483850855
2003/04/02,54.122240013856
2003/05/01,53.8989583168843
2003/05/02,53.9616429696308
2003/06/01,53.9507638150219
2003/06/02,53.9994609832705
2003/07/01,54.0455678766129
2003/07/02,54.0616275810355
2003/08/01,54.1595399725149
2003/08/02,54.2709217935092
2003/09/01,54.5278770642699
2003/09/02,54.5480812085432
2003/10/01,54.7019435380108
2003/10/02,54.7744712354025
2003/11/01,55.1505791518781
2003/11/02,55.234504058861
2003/12/01,55.3578011444272
2003/12/02,55.5023384842298
2004/01/01,55.6852118926543
2004/01/02,55.8634228062459
2004/02/01,56.0421517748189
2004/02/02,56.1737377400873
2004/03/01,56.2773487363619
2004/03/02,56.3193111898529
2004/04/01,56.3177570249091
2004/04/02,56.4477888252329
2004/05/01,56.2369404478146
2004/05/02,56.2467834924605
2004/06/01,56.2985889905981
